attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
analysis,255,QUBOSVCBoosting,SimulatedAnnealing,10,2×GPU,0,14.25,5.1332,0.99795,0.99099,0.97862,0.974,0.98329
analysis,266,QUBOSVCBoosting,SimulatedAnnealing,21,2×GPU,0,14.17,5.215,0.99818,0.99338,0.98104,0.97412,0.98807
analysis,276,QUBOSVCBoosting,SimulatedAnnealing,31,2×GPU,0,14.4,5.1582,0.99841,0.99576,0.98345,0.97424,0.99284
analysis,296,QUBOSVCBoosting,SteepestDescent,10,2×GPU,0,13.83,6.1915,0.99886,0.9994,0.98821,0.97669,1.0
analysis,307,QUBOSVCBoosting,SteepestDescent,21,2×GPU,0,14.07,5.3086,0.99875,0.99708,0.98698,0.97887,0.99523
analysis,317,QUBOSVCBoosting,SteepestDescent,31,2×GPU,0,14.33,5.1748,0.99864,0.99815,0.98585,0.97436,0.99761
analysis,337,QUBOSVCBoosting,TabuSampler,10,2×GPU,0,13.49,3.9327,0.99693,0.99839,0.96879,0.93946,1.0
analysis,348,QUBOSVCBoosting,TabuSampler,21,2×GPU,0,14.33,5.1888,0.99807,0.99218,0.97983,0.97406,0.98568
analysis,358,QUBOSVCBoosting,TabuSampler,31,2×GPU,0,14.67,5.2228,0.99807,0.99105,0.97979,0.9763,0.98329
shellcode,3366,QUBOCorrelation,SimulatedAnnealing,10,2×GPU,0,12.67,2.2027,0.9969,0.99837,0.96842,0.93878,1.0
